 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:5001 (Press CTRL+C to quit)
127.0.0.1 - - [10/Jun/2022 17:42:54] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Jun/2022 17:42:54] "[36mGET /static/assets/SoCoLab_logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Jun/2022 17:42:55] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Jun/2022 17:42:55] "[36mGET /static/assets/SoCoLab_logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Jun/2022 17:42:56] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Jun/2022 17:42:56] "[36mGET /static/assets/SoCoLab_logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Jun/2022 18:00:05] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Jun/2022 18:00:05] "[36mGET /static/assets/SoCoLab_logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Jun/2022 19:34:48] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Jun/2022 19:34:49] "GET /static/assets/favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [10/Jun/2022 19:34:49] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
127.0.0.1 - - [10/Jun/2022 19:56:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Jun/2022 19:56:27] "[36mGET /static/assets/SoCoLab_logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Jun/2022 22:27:59] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Jun/2022 22:27:59] "[36mGET /static/assets/SoCoLab_logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Jun/2022 22:51:22] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Jun/2022 22:51:22] "[36mGET /static/assets/SoCoLab_logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Jun/2022 22:51:22] "[36mGET /static/assets/favicon.ico HTTP/1.1[0m" 304 -
127.0.0.1 - - [10/Jun/2022 23:44:32] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Jun/2022 23:44:32] "GET /static/assets/SoCoLab_logo.png HTTP/1.1" 200 -
127.0.0.1 - - [10/Jun/2022 23:44:32] "GET /static/assets/favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [11/Jun/2022 04:17:45] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [11/Jun/2022 04:39:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [11/Jun/2022 04:39:01] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
127.0.0.1 - - [11/Jun/2022 04:40:22] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [11/Jun/2022 05:03:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [11/Jun/2022 05:13:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [11/Jun/2022 10:58:24] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [11/Jun/2022 11:51:18] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [11/Jun/2022 12:14:19] "GET / HTTP/1.1" 200 -
